[199   0   0   0   0]
[ 0  0 15 27 53]
[ 0  0  0  9 20]
[  5   4  34  18 100]
[ 0  0  0  0 19]
[ 0  0  0  0 18]
[ 0  0  1  1 30]
[ 1  0  0 27 35]
[ 0  0  0  1 20]
[ 0  0  0  0 22]
[ 0  0  0  4 28]
[ 0  0  0 15 12]
[ 0  0  0  0 24]
[ 1  0  0  7 30]
[ 2  0  8  6 49]
[ 0  0  0  0 28]
[ 0  0  0  0 19]
[ 2  5  8 28 61]
[ 0  0  0  0 29]
[ 0  2 14 13 60]
[ 4  1  0  0 24]
[ 2  0  0  1 41]
[ 0  0  0  0 19]
[20  0  0  0  0]
[ 0  0  0  0 17]
[ 0  0  0  0 17]
[ 0  0  0  0 16]
[ 0  0  0  0 16]
[ 0 20  0  0  0]
[ 0  0  1  7 37]
[  4   3   8  16 109]
[ 0  0  0  3 40]
[ 1  2  5 15 64]
[ 0  0  0  0 18]
[ 6  5 35 22 94]
[ 0  0  0  1 24]
[ 3  1 11 26 57]
[ 0  0 28  0  8]
[ 1  0  0  0 27]
[ 7  7 49 57 55]
[ 2  0  2  1 40]
[ 0  2  0  2 26]
[ 0  0  0  0 19]
[ 1  2 12 30 51]
[ 0  0  0  4 20]
[ 0 15 10 18 67]
[ 0  0  0  0 15]
[ 0  0  0  0 15]
[ 0  0  0  0 15]
[ 0  0  0  0 15]
[ 0  0  0  0 15]
[ 0  0  0  0 15]
[ 0  0  0  0 23]
[ 0  2  1  2 31]
[12 26 40 45 78]
[ 4  4  7  9 82]
[ 0  0  9  0 15]
[ 0  0  0  2 18]
[ 0  0  0  0 16]
[ 8  7 20 27 88]
[ 0  0  0  9 32]
[ 0  5 10 41 14]
[ 0  0  1  7 20]
[ 1  3 10  2 41]
[ 0  0  0  0 17]
[ 0  0  0  0 16]
[ 0  0  1 10 26]
[ 0  0  0  1 19]
[ 0  0  7  5 31]
[18  0  0  0  0]
[ 0  1  0  0 18]
[ 0  0  2  5 33]
[ 0  0  0  1 18]
[ 0  0  0  0 15]
[ 0  0  0  1 18]
[ 0  0  0  0 14]
[ 0  0  0  0 14]
[ 0  0  0  0 14]
[ 0  0  0  0 14]
[ 0  0  0  0 14]
[ 0  0  0  0 14]
[ 0  0  0  0 14]
[ 0  0  0  0 14]
[ 0  0  0  0 14]
[ 0  0  0  0 14]
[ 0  0  0  0 14]
[ 0  0  0  0 14]
[ 0  0  0  0 14]
[ 0  0  0  0 14]
[ 0  0  0  0 14]
[ 0  0  0  0 14]
[ 0  0  0  0 14]
[ 0  0  0  0 14]
[ 0  0  0  0 14]
[ 0  0  0  0 14]
[ 0  0  0  0 14]
[ 0  0  0  0 14]
[ 0  0  0  0 14]
[ 0  0  0  0 14]
[ 0  0  0  0 14]
[ 0  0  0  0 14]
[ 0  0  0  0 14]
[ 0  0  0  0 14]
[ 0  0  0  0 14]
[ 0  0  0  0 14]
[ 0  0  0  0 14]
[ 0  0  0  0 14]
[ 0  0  0  0 14]
[ 0  0  0  0 14]
[ 0  0  0  0 14]
[ 0  0  0  0 14]
[ 0  0  0  0 14]
[ 0  0  0  0 14]
[ 0  0  0  0 14]
[ 0  0  0  0 14]
[ 0  0  0  0 14]
[ 0  0  0  0 14]
[ 0  0  0  0 14]
[ 0  0  0  0 14]
[ 0  0  0  0 14]
[ 0  0  0  0 14]
[ 0  0  0  0 14]
[ 0  0  0  0 14]
[ 0  0  0  0 14]
[ 0  0  0  0 14]
[ 0  0  0  0 14]
[ 0  0  0  0 14]
[ 0  0  0  0 14]
[ 0  0  0  0 14]
[ 0  0  0  0 16]
[ 0  1  7 31 36]
[ 0  0  1 12 30]
[ 0  1  1 10 27]
[ 0  1  0  0 15]
[ 0  2  8 25 45]
[13  0  0  3 32]
[18  0  0  0  3]
[ 0  0  0  2 18]
[ 0  7  0  1 28]
[ 0  1  0 29  4]
[ 2  1  8 18 26]
[ 0  0  0  0 15]
[ 0  0  0  0 15]
[20  0  0  0  1]
[ 0  0  2 21 12]
[ 0  0  0  0 23]
[ 0  0  0  0 24]
[ 0  0  0  0 16]
[ 0  0  0  0 16]
[ 0  0  0  7 22]
[ 0  0  0  0 24]
[ 0  0  0  0 15]
[17  0  0  0  0]
[ 8 12 13 51 50]
[ 3  3 12 45 58]
[ 0  0  1  0 20]
[ 9  0  8  4 57]
[25  1  1 26  7]
[ 0  0  0  0 20]
[ 0  0  0  0 13]
[ 0  0  0  0 13]
[17  0  0  1 12]
[ 0  0 18  0  0]
[ 0  0  0 20  0]
[ 0  1  4  7 51]
[28 19 18 12 64]
[ 0  0  0  1 20]
[ 0  0  2  0 18]
[ 0  0  0  0 16]
[ 1  2  3 23 15]
[ 0  0  4  4 35]
[ 0  0  1  0 15]
[ 0  1  0  0 16]
[ 0  1  2  7 35]
[ 1  2  3 22 49]
[ 0  0  0  0 14]
[ 0  0  1  1 20]
[ 0 16  0  0  4]
[ 8  0  0  0 13]
[22  2  2  1 46]
[ 0  0  0  1 15]
[ 0  0  0  4 20]
[ 1  0 13  7 39]
[ 1  0  0  0 16]
[0 9 0 0 9]
[ 1  0  2  4 37]
[ 0  0  1  0 15]
[ 0  0  4  3 30]
[ 0 15 13 18 25]
[ 3  0  1 24 20]
[13 11 11 26 90]
[ 0  0  1  1 16]
[ 0  0  0  0 13]
[ 0  0  0  0 13]
[ 0  0  0  0 13]
[ 0  0  0  0 13]
[ 1  0  2  8 32]
[ 2  0  0 19  1]
[ 1  0  0  0 14]
[ 1  0  0  0 14]
[ 0  1  8 12 37]
[ 1  0  0  0 15]
[ 0  1  0  0 14]
[ 0  0  0  1 14]
[17  0  0  0  0]
[ 0  0  0  2 21]
[ 0  0  3  6 30]
[ 0  0  0  0 12]
[ 0  0  0  0 12]
[ 0  0  0  0 12]
[ 0  0  0  0 12]
[ 0  0  0  0 12]
[ 0  2 12 48  7]
[ 0  0  3  6 32]
[ 0  2  1 20 28]
[ 0  0  1  4 23]
[ 0  0  6  0 15]
[ 0  1  1 14 27]
[ 0  0  0  0 13]
[ 1  0  1  0 21]
[ 0  0  1  6 20]
[ 0  0  0  0 15]
[ 1  1  3 16 36]
[ 0  5  2 19 31]
[ 0  0  0  0 14]
[ 5  0  1 18 16]
[ 0  0  0  0 13]
[ 0  0  0  0 13]
[ 1  0  0  0 14]
[ 0  0  5  2 35]
[ 0  1  2 33  3]
[ 0  0  1  2 21]
[ 0  1  0  0 14]
[ 0  1  5 26 36]
[ 0  0  0  1 15]
[ 2  6 16 19 71]
[ 0  1  0  0 16]
[ 1  2  4  7 57]
[ 0  1  0 24 11]
[ 1  0  0  0 18]
[ 0  2  6  3 16]
[ 0  0  2  0 14]
[ 0  9  0  1 14]
[ 0  0  0  7 11]
[ 4  2  5  3 54]
[ 1  0  0  1 19]
[ 0 12  0  0 10]
[ 2  0  0  1 17]
[43  4 11  1  2]
[ 0  0  0  1 22]
[ 0  0  0 14  5]
[ 0  0  0 15  0]
[ 2  0  1  6 34]
[ 1 10  7  1 49]
[ 0  0  3  1 14]
[ 0  0  7 15 22]
[ 0  0  0  4 13]
[0 0 0 9 9]
[ 0  0  0  1 19]
[ 1  0  3  1 38]
[ 0  0  0  5 17]
[ 0  0  4 19 23]
[ 0  0  0  0 12]
[ 0  0  0  0 12]
[ 0  0  0  0 12]
[ 0  0  1  3 16]
[ 0  3  8  4 39]
[ 1  0  2  0 23]
[ 1  0  4  0 24]
[ 4  8 31 29 71]
[ 0  1  0  0 12]
[ 0  0 10  0  9]
[ 0  1  3  2 36]
[13  0  6 13 55]
[ 0  0  0  6 11]
[ 0  0  0  0 11]
[ 0  0  0  0 11]
[ 0  0  0  0 11]
[ 0  0  0  0 11]
[ 0  0  0  0 11]
[14  0  0  0  0]
[14  0  0  0  0]
[14  0  0  0  0]
[14  0  0  0  0]
[14  0  0  0  0]
[14  0  0  0  0]
[14  0  0  0  0]
[14  0  0  0  0]
[14  0  0  0  0]
[14  0  0  0  0]
[14  0  0  0  0]
[14  0  0  0  0]
[14  0  0  0  0]
[14  0  0  0  0]
[ 0  0  0  3 16]
[ 3  3 29 60  3]
[ 1  1  4  4 53]
[ 0  0  0  3 14]
[ 0  0  0  1 15]
[ 1  1  0  6 14]
[ 0  3  0  0 13]
[ 0  0  6 18 23]
[ 0  0  0  2 17]
[ 0  4 11 21 47]
[ 0  3  3 12 26]
[14  0  0  0  7]
[ 0  0  3 18 28]
[ 0 14  0  0  0]
[ 0 14  0  0  0]
[ 0 14  0  0  0]
[ 0 14  0  0  0]
[ 0 14  0  0  0]
[ 0 14  0  0  0]
[ 1  0  2  4 32]
[ 0  1  2  5 35]
[ 0  0  0  1 18]
[ 4  1  0  0 13]
[ 0  0  0  5 17]
[ 0  0  0 12  9]
[ 0  0  0  1 17]
[ 0  0  0  1 14]
[ 0  0  0  0 12]
[ 6  0  0  0 12]
[ 0 15  0  0  0]
[ 0  1  1  1 22]
[ 0  0  1  2 15]
[ 0  0  0  0 16]
[ 0  0  8  5 35]
[ 2  0  0  0 13]
[ 0  0  0  0 13]
[ 0  0  0  0 12]
[ 0  0  0  0 12]
[ 0  2 32 13 22]
[ 0  0  0  1 14]
[ 0  1  0  1 14]
[ 0  0  1  2 13]
[ 0  1  0 15  6]
[ 0  0 14  9  0]
[ 1  0  1  0 28]
[ 0  0  1  0 15]
[ 0  1  0  7 16]
[ 0  0  0 14  0]
[ 0  0  0 14  0]
[ 0  0  0 14  0]
[ 0  0  0 14  0]
[ 0  0  0 14  0]
[ 0  0  0 14  0]
[ 0  0  0 14  0]
[ 0  0  0 14  0]
[ 0  0  0 14  0]
[ 0  0  0 14  0]
[ 0  0  0 14  0]
[ 9  3  0  1 16]
[ 0  0 18  2  1]
[ 0  0  0  0 14]
[ 0  0  1 16  6]
[ 0  2 22 17 31]
[ 0  1  0 10  9]
[ 0  0  0  1 13]
[ 0  0  0  0 13]
[18  0  0  0  4]
[ 0  0  0  0 13]
[ 0  1  7 12 39]
[ 0  0  0  2 21]
[ 0  0  2  1 14]
[ 0  1  1  0 14]
[ 0  0  0  1 14]
[ 0  0  0  0 11]
[ 0  0  0  0 11]
[ 0  0  0  0 13]
[ 1  3  9 11 58]
[ 2  0  0  9 10]
[ 0  2  5  4 33]
[ 0  0  0  2 15]
[ 0  0  1  2 20]
[ 0  0  0  0 12]
[ 0  0  0 15  1]
[ 1  2  0  0 15]
[ 0  0  0  0 13]
[ 3  3  4  2 51]
[ 0  0  0 12  5]
[ 1  0  1  6 35]
[ 1  0  3  0 14]
[ 0  0  0  0 10]
[ 0  0  0  0 10]
[ 0  0  0  0 10]
[ 0  0  0  0 10]
[ 0  0  0  0 10]
[ 0  0  0  0 10]
[ 0  0  0  0 10]
[ 0  0  0  0 10]
[ 0  0  0  0 10]
[ 0  0  0  0 10]
[ 0  0  0  0 10]
[ 0  0  0  0 10]
[ 0  0  0  0 12]
[ 0  0  0 15  9]
[ 0  0  0  0 11]
[ 0  0  0  0 11]
[ 0  0  0  0 11]
[ 0  0  7  0 11]
[15  0  0  0  1]
[ 0  5  9  7 18]
[ 3  1  0  1 20]
[14  0  0  0  1]
[9 9 0 0 0]
[ 0  0  0  0 11]
[ 0  0  0  0 11]
[ 0  0  0  0 11]
[ 0  0  0  0 11]
[ 0  0  0  0 11]
[ 0  0  0 14  1]
[ 0  0  0  4 11]
[0 0 0 5 9]
[ 0  0 14  0  0]
[ 0  0 14  0  0]
[ 0  0 14  0  0]
[ 0  0 14  0  0]
[ 0  0 14  0  0]
[ 0  9 18  0  1]
[ 0  0  0  0 13]
[ 8  0  0  1 13]
[ 0 13  0  0  9]
[ 6  0  0  0 12]
[ 1  2  3  6 44]
[ 4 13 34  3  0]
[ 8 15  7  3 42]
[ 0  0  1  6 30]
[ 0  0  0  0 12]
[ 0  0  1  7 16]
[ 0  0  3  0 12]
[ 0  0  5  4 18]
[ 0  0  9 31 25]
[ 3  0  3  2 31]
[ 2  0 13 37 17]
[ 0 12  0  0  1]
[ 0  0  0  0 11]
[ 0  1  9 11 36]
[ 0  0  0 14  1]
[ 0  0  2  9 27]
[ 2  4  8 21 39]
[ 1  0  0  0 10]
[ 0  0 15  0  0]
[ 0  0  0  0 10]
[ 0  0  0  0 10]
[ 0  0  0  0 10]
[ 0  0  0  0 10]
[ 0  0  0  0 10]
[ 0  0  0  0 10]
[ 0  0  0  0 10]
[ 0  0  0  0 10]
[ 0  0  0  0 10]
[ 0  0  0  0 10]
[ 0  0  0  0 10]
[ 0  0  0  0 10]
[ 0  0  0  0 10]
[ 0  0  0  0 10]
[ 0  0  6  8 33]
[ 0  6  0  5 12]
[ 0  0  0 14 17]
[0 0 0 4 9]
[ 0  0  0  0 12]
[ 0  0  0 14  3]
[ 0  0  0 10  5]
[ 0  0  3 23  7]
[15  0  0  1 14]
[ 2  0  0  1 20]
[ 0  0  0  0 10]
[14  3  6  7 49]
[ 0  0  0 12  6]
[25  1  7  2  9]
[ 0  0 14  0  1]
[ 0  0  0  0 11]
[ 0  0  0  0 11]
[ 0  0  0  0 11]
[ 0  0  0  1 14]
[ 0  0 16  0  3]
[8 0 0 0 8]
[19  0  2  1  4]
[ 0  0  0  0 11]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[ 0  0  0  2 17]
[ 0  0  1  2 15]
[ 0  0  0  1 18]
[ 0  0  0  0 10]
[ 0  0  0  0 10]
[ 0  0  0  0 10]
[32 23 21 11 23]
[ 6  0  0  4 28]
[ 0 14  0  0  2]
[ 0  0  2  0 10]
[10  0  0  0  7]
[ 0  1  0  3 18]
[ 0  0  2  1 11]
[15  2  0  0  0]
[ 1  2  0  3 19]
[ 0  0  5  4 24]
[ 4  0  0  9 12]
[ 0  0  0 14  2]
[ 1  0  1  9 11]
[ 0  0  0  0 10]
[ 0  0  0  0 10]
[ 0  0  0  0 10]
[ 0  0  0  0 10]
[ 0  0  0  0 10]
[0 9 0 0 4]
[ 0  0  1 15  0]
[ 1  0  0  0 12]
[ 1  0  0  0 11]
[ 0  0  0  1 13]
[ 2  6  1  3 28]
[ 0  0  0  0 12]
[ 0  0  0  0 12]
[ 0  1  0  1 25]
[ 4  5 11 10 47]
[ 0  0  0  0 11]
[ 0  0  0  1 10]
[ 4  0  0  1 11]
[0 0 0 9 4]
[ 1  3  6  4 40]
[ 0  0  1  3 16]
[ 0  9  0  4 16]
[ 0  0  1 17  6]
[ 1  0  7  4 13]
[ 0  2 11 16 25]
[11  0  0  0  0]
[ 0 16  3  7 25]
[ 0  0  0  0 13]
[ 0  0  0  0 14]
[ 0  0  0  0 10]
[ 2 12 39 46 20]
[1 0 0 0 9]
[ 0  1  0 16  2]
[ 0  0  0  4 12]
[ 1  1  0 18  9]
[10  0  0  9  0]
[ 1  0  0  1 18]
[ 0  1  1  0 14]
[ 0  0  0  1 12]
[0 0 0 1 9]
[ 0  0  1 10 17]
[0 0 0 6 8]
[ 0  0  0  0 11]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[ 1  3  7  8 30]
[ 4 11  3  1 24]
[ 0  0  0  0 11]
[ 0  1  0  3 20]
[ 5  5  2 10 23]
[ 2  3  6 16 47]
[14  0  1  0  1]
[ 0  0  0  1 11]
[0 0 1 9 8]
[9 0 0 0 3]
[ 0  8  6  5 37]
[ 0 14  0  1  1]
[ 0  1  1  1 14]
[ 2  0  0  0 10]
[ 0  0  0  0 12]
[ 0  0  0  0 10]
[ 0  2 10 23 21]
[6 0 1 0 9]
[0 3 0 0 9]
[ 3  2  5 11 40]
[ 0  0  0  1 12]
[ 0  0  0  1 10]
[ 0  1  4 26 21]
[ 1  0  0  0 10]
[ 0  1  9 17 20]
[ 0  0  0  0 10]
[ 0  0 13  0  0]
[ 1  0  3  4 13]
[ 0  0  0 11  0]
[ 1  0  0  7 11]
[0 0 0 3 9]
[0 0 0 9 5]
[ 0  0  0 11  4]
[ 0  0  0 11  4]
[0 0 0 0 9]
[0 0 2 9 7]
[0 0 0 0 8]
[0 0 0 0 8]
[0 0 0 0 8]
[0 0 0 0 8]
[0 0 0 0 8]
[0 0 0 0 8]
[0 0 0 0 8]
[0 0 0 0 8]
[0 0 0 0 8]
[0 0 0 0 8]
[0 0 0 0 8]
[0 0 0 0 8]
[0 0 0 0 8]
[0 0 0 0 8]
[0 0 0 0 8]
[0 0 0 0 8]
[0 0 0 0 8]
[0 0 0 0 8]
[0 0 0 0 8]
[0 0 0 0 8]
[0 0 0 0 8]
[0 0 0 0 8]
[0 0 0 0 8]
[0 0 0 0 8]
[0 0 0 0 8]
[0 0 0 0 8]
[0 0 0 0 8]
[0 0 0 0 8]
[0 0 0 0 8]
[0 0 0 0 8]
[0 0 0 0 8]
[0 0 0 0 8]
[0 0 0 0 8]
[0 0 0 0 8]
[ 0  2  1  2 22]
[ 0  0  0 14  4]
[ 0  0  1  0 11]
[ 0  1  8 35 15]
[ 0  1  4 12 28]
[ 0  0  0  0 12]
[ 0  1  0  2 24]
[ 0  0  0  0 11]
[ 0  0  1 16  1]
[10  0  0  0  1]
[0 0 9 0 4]
[ 0  1  8  7 12]
[ 1  0  0 14  1]
[0 0 0 8 5]
[ 7  0  1  4 28]
[ 0  0  3  0 14]
[2 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[ 0  0  0  2 14]
[ 0  0  2  0 11]
[ 4  5 15 22 48]
[ 0  0  0  2 11]
[0 2 0 0 9]
[ 0  0 17  1  3]
[9 0 0 0 4]
[ 0  5  1  5 20]
[ 1  0 12 21  4]
[ 0  3  7 17 30]
[ 0  0  0  0 10]
[ 0  0  0  0 12]
[ 1  2  8 25  5]
[ 1  0  2  0 14]
[0 0 0 1 9]
[ 0  0  1  0 11]
[ 0  0  9  1 17]
[ 1  0  0  1 12]
[9 0 0 0 2]
[ 2  5  3 14 44]
[ 0  0  0  0 11]
[ 0  8  5  3 26]
[ 0  0  1  5 21]
[5 0 0 0 6]
[5 0 0 0 6]
[ 0  0  0  1 10]
[ 0  0  0 13 10]
[ 0  0  1 10 10]
[ 0  0 12  0  0]
[ 0  0  0  4 19]
[ 0  0  2 18 11]
[ 2  1  5  0 18]
[ 5  2  0  1 26]
[ 1  0  0  0 10]
[ 1  2  1  1 24]
[ 0  1  0  0 10]
[ 0  4 21 24 16]
[ 0  2  3 15  0]
[ 1  1  5 10 20]
[ 0  0  1  2 15]
[ 0  0  0  0 10]
[0 0 0 0 9]
[0 0 0 0 9]
[ 0  0  0  0 11]
[0 0 0 0 8]
[0 0 0 0 8]
[0 0 0 0 8]
[ 3  0  1  4 10]
[0 0 0 7 8]
[ 1 14  0  5  2]
[ 6  0  6  8 31]
[ 0  0  0  0 11]
[ 5  0  1  0 12]
[ 0  0  0  2 14]
[ 0  0  2 13  3]
[ 0  0  0  0 10]
[ 0  1  1  0 11]
[0 0 0 4 8]
[ 1  2 17  8 35]
[1 0 0 4 9]
[0 0 1 0 9]
[0 0 0 1 9]
[ 7  0 14 11  4]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[ 0  0  0  0 11]
[0 0 9 0 7]
[ 0  0 10  6  4]
[ 5  0  0  0 10]
[ 1  1  1 11 14]
[0 9 3 1 5]
[15  0  1  1  0]
[ 0  0  0  1 13]
[ 0  0  3  8 10]
[ 0  0  0  4 11]
[0 0 0 0 9]
[0 0 0 0 9]
[0 0 0 0 9]
[0 2 8 0 9]
[ 0  0  0  1 11]
[ 0  3  2  3 25]
[ 0  6 11  0  0]
[ 2  6 14 16 41]
[ 0 13  4  3 19]
[ 7  2  0  6 11]
[0 5 1 1 8]
[ 0  1  4 10 23]
[ 0  0 14  5  8]
[0 1 0 9 4]
[11  0  0  0  1]
[ 0  0  0 10  4]
[ 0  1 14 13 15]
[ 0  1  1 21  2]
[0 0 0 0 7]
[0 0 0 0 7]
[0 0 0 0 7]
[0 0 0 0 7]
[0 0 0 0 7]
[0 0 0 0 7]
[0 0 0 0 7]
[0 0 0 0 7]
[0 0 0 0 7]
[0 0 0 0 7]
[0 0 0 0 7]
[0 0 0 0 7]
[0 0 0 0 7]
[0 0 0 0 7]
[0 0 0 0 7]
[0 0 0 0 7]
[0 0 0 0 7]
[0 0 0 0 7]
[0 0 0 0 7]
[0 0 0 0 7]
[ 0  0  2 17  2]
[ 7 14 22  8 10]
[0 9 0 0 3]
[0 0 0 0 8]
[0 0 0 0 8]
[0 0 0 0 8]
[0 0 0 0 8]
[0 0 0 0 8]
[0 0 2 0 9]
[0 0 0 0 8]
[0 0 0 0 8]
[0 0 0 0 8]
[0 0 0 0 8]
[ 1  0 13 15 19]
[ 0  0  0  0 11]
[ 0  0  0  2 12]
[0 0 9 5 0]
[ 2 11  5 16 17]
[ 0  0 15  3  2]
[0 0 0 0 8]
[0 0 0 0 8]
